condition,seed,class,brier,nll,ece,calibration_slope,calibration_intercept,bin_counts
C0_baseline,42,Atelectasis,0.16528949949009927,0.5170286077348176,0.29486254667812845,3.157401848140981,-1.3974760320193087,"[0, 0, 2446, 6768, 4680, 1923, 419, 50, 0, 0]"
C0_baseline,42,Cardiomegaly,0.10926583950338899,0.38925689615727566,0.29242833804832374,3.2312996179563047,-2.5717192778678934,"[0, 2015, 6539, 4589, 2012, 827, 241, 62, 1, 0]"
C0_baseline,42,Effusion,0.1574145249210083,0.49741087117222776,0.28865730168672477,3.075418023855384,-1.8611063988958891,"[0, 83, 4622, 4777, 2962, 2135, 1318, 389, 0, 0]"
C0_baseline,42,Infiltration,0.24079000529187097,0.6745011635584984,0.3396426122841704,3.188866628579145,-1.8871499449835094,"[0, 0, 10, 1039, 7129, 6721, 1386, 1, 0, 0]"
C0_baseline,42,Mass,0.118515762827009,0.41412341588732415,0.28300550669225094,3.1996293380488106,-1.6048667561104006,"[0, 149, 7511, 5483, 2105, 684, 277, 77, 0, 0]"
C0_baseline,42,Nodule,0.13514733670804305,0.4536825805660737,0.29876826444737814,3.177212356226014,-1.4228350557927942,"[0, 0, 3698, 9397, 2362, 615, 200, 14, 0, 0]"
C0_baseline,42,Pneumonia,0.09762376258453777,0.3690082053966524,0.2895332657546359,3.41577185482358,-2.0139126201012556,"[0, 273, 8791, 5960, 1241, 21, 0, 0, 0, 0]"
C0_baseline,42,Pneumothorax,0.1143678624667975,0.40269794150669364,0.2714822106514798,2.9791720434782603,-1.7191778212547701,"[0, 606, 8000, 4552, 1671, 820, 549, 86, 2, 0]"
C0_baseline,42,Consolidation,0.12468813640165902,0.4276786770670238,0.29681697719206684,3.1991739717633854,-1.6263646658581885,"[0, 135, 6858, 5280, 3498, 513, 2, 0, 0, 0]"
C0_baseline,42,Edema,0.0880677156737286,0.33654897432009406,0.25747179833685374,3.4243786089411263,-2.1692876930528677,"[5, 4457, 6380, 3149, 1509, 680, 103, 3, 0, 0]"
C0_baseline,42,Emphysema,0.08529705528326051,0.333672592585547,0.25295287233175734,3.1056413595364614,-2.014592787019947,"[1, 3257, 7836, 3776, 744, 330, 232, 102, 8, 0]"
C0_baseline,42,Fibrosis,0.0992094010717849,0.3724344189043128,0.2868711975770601,4.236965841314714,-1.3405289441869523,"[0, 261, 8567, 6158, 1223, 77, 0, 0, 0, 0]"
C0_baseline,42,Pleural_Thickening,0.13502860535405373,0.4507715602820304,0.3230091650098244,3.1059232224107,-2.2478710390743335,"[0, 202, 5057, 6390, 3362, 1236, 39, 0, 0, 0]"
C0_baseline,42,Hernia,0.033391277003057794,0.19463323139472563,0.17317076768347045,4.015018595834359,-1.583845798401328,"[492, 11288, 4225, 238, 30, 6, 6, 1, 0, 0]"
C0_baseline,123,Atelectasis,0.18103221940231617,0.5496847730163478,0.3206743442361537,3.0588363337846878,-1.8646750781613854,"[0, 2, 2030, 5707, 4389, 3202, 856, 98, 2, 0]"
C0_baseline,123,Cardiomegaly,0.08967307437339804,0.34339434445717454,0.2598690375025175,3.0909629034654214,-2.0052298963824207,"[0, 3107, 7607, 3734, 1224, 440, 142, 28, 4, 0]"
C0_baseline,123,Effusion,0.14264757553845975,0.4634295982124191,0.262935780479553,2.8766671013567664,-1.5739322012803294,"[0, 633, 5774, 3857, 2859, 1804, 984, 372, 3, 0]"
C0_baseline,123,Infiltration,0.23991863900744603,0.6727818675620799,0.33986064471079447,2.521288841388307,-1.8744061198942499,"[0, 0, 56, 1533, 6728, 6081, 1746, 142, 0, 0]"
C0_baseline,123,Mass,0.16842610147557352,0.5232936289880804,0.35744575063981326,3.121392551563398,-2.7787559027304134,"[0, 0, 2580, 6348, 4257, 2079, 756, 245, 21, 0]"
C0_baseline,123,Nodule,0.15447277038249582,0.493815188940559,0.32686830640304554,2.7912629003169815,-2.0713717527924294,"[0, 2, 3280, 7111, 3916, 1482, 468, 27, 0, 0]"
C0_baseline,123,Pneumonia,0.10754275522416264,0.393791276271928,0.30783035489868593,4.242959235439362,-1.7217191921736603,"[0, 10, 6482, 8504, 1273, 17, 0, 0, 0, 0]"
