condition,n_seeds,macro_brier_mean,macro_brier_std,macro_nll_mean,macro_nll_std,macro_ece_mean,macro_ece_std,macro_ece_CI_95_lo,macro_ece_CI_95_hi
C0_baseline,3,0.1261048510922582,0.003973169273218768,0.4268279961721544,0.009512742768138125,0.28918490980542005,0.006758880980876363,0.28035249645249977,0.28394583521421496
C1_crop_only,3,0.12638649973240854,0.0031589770140452124,0.4278943789201785,0.007605886810496284,0.29008238506672107,0.005409879614157202,0.28286652827978603,0.28637246189387744
C2_bce_only,3,0.038262785344836445,0.0003671410010441973,0.1398852303530132,0.0011809011492377127,0.009935634019497791,0.0012520125952466988,0.009554762372032908,0.011633382982894782
C3_schedule_only,3,0.12592755862161722,0.0037128523722550675,0.42635727658240263,0.008698274192981064,0.28881818939828685,0.006097120086846097,0.2803779702650335,0.2839688430063281
C4_noaug_only,3,0.1253211587192721,0.006950536199061756,0.4251174147532948,0.016782169608369826,0.2879696823626325,0.012089963122088232,0.27380331007648895,0.27735631097866886
C5_crop_bce,3,0.038405840806496276,0.0001305990484864919,0.14002680046752858,0.0006225653010528316,0.010581014494130778,0.0015869658042287082,0.011268542717040125,0.013440780423478646
C6_full_combined,3,0.0383068008603504,0.00035323608717851895,0.1397702604932536,0.0010625008420901982,0.010080734783058052,0.0015405475284340105,0.009899243054185367,0.012035279750658993
