condition,n_seeds,macro_auc_mean,macro_auc_std,micro_auc_mean,micro_auc_std,macro_prauc_mean,macro_prauc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
C0_baseline,3,0.8536520056678008,0.000654865957593725,0.8869379469865093,0.0018957281562067016,0.27768405715758876,0.005388461074155958,0.2766245327135688,0.017409392624616753,0.44434227713213126,0.01837763162161824,0.31452616897019453,0.013832278737497735
C1_crop_only,3,0.8545132468641796,0.0022897991482885506,0.8871221419430656,0.0004327882444691544,0.2737103659605393,0.004826837161295214,0.25786272060385973,0.013569766483816434,0.4314771444888687,0.014264840793650748,0.3044864487306112,0.014096175061246226
C2_bce_only,3,0.8520445651333616,0.0019534755202624283,0.8864924243067881,0.0017559611151016907,0.2787107050086166,0.005661249264897058,0.40318294128443805,0.03819088642400809,0.11831174368542496,0.02614646370688746,0.1681571515971331,0.030142123295528525
C3_schedule_only,3,0.8534763849520357,0.0006935885510735237,0.8866718572641639,0.0019339861578288094,0.27896781010649324,0.004778939134450579,0.2759274842228023,0.012120233422865313,0.44351806634482066,0.016951326197658937,0.3146580741949727,0.012899250228417482
C4_noaug_only,3,0.8526446574016053,0.0014476068154689941,0.8867974421617214,0.0031613337454485814,0.2753161635889268,0.004017442248913344,0.2685806657601912,0.01514330695423028,0.43710478403320074,0.008647854799249323,0.31284695839157234,0.015220607195300944
C5_crop_bce,3,0.8538866694068609,0.0003959011667244271,0.8881231236657768,0.0023758532179314036,0.27828153159871283,0.00663196637334031,0.43717322386528057,0.035808037688438175,0.1391195402281543,0.010748284253364602,0.19477087385107075,0.014318549075515656
C6_full_combined,3,0.8538404664846944,0.0009553873817611555,0.8874466437874079,0.001447610508197872,0.271397252636204,0.004594903137862618,0.4145898623163233,0.05295720196699468,0.11578929335693183,0.015581541933186125,0.16634059326072104,0.017143976456022406
